item_id,domain,condition,rag,y,conf,mce,brier,tool,forbidden,parse_ok
d1.07,1,cot,OFF,1.0,0.9899999999999999,0.010000000000000009,0.0001000000000000002,0.0,0.0,1.0
d1.07,1,cot,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.07,1,dual,OFF,1.0,0.9766666666666666,0.023333333333333355,0.0009000000000000016,0.0,0.0,1.0
d1.07,1,dual,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.07,1,high_c,OFF,1.0,0.9899999999999999,0.010000000000000009,0.0001000000000000002,0.0,0.0,1.0
d1.07,1,high_c,ON,1.0,0.93,0.07000000000000002,0.00836666666666667,0.0,0.0,1.0
d1.07,1,verify,OFF,1.0,0.9633333333333333,0.0366666666666667,0.001700000000000003,0.0,0.0,1.0
d1.07,1,verify,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.08,1,cot,OFF,1.0,0.9899999999999999,0.010000000000000009,0.0001000000000000002,0.0,0.0,1.0
d1.08,1,cot,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.08,1,dual,OFF,1.0,0.9899999999999999,0.010000000000000009,0.0001000000000000002,0.0,0.0,1.0
d1.08,1,dual,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.08,1,high_c,OFF,1.0,0.9899999999999999,0.010000000000000009,0.0001000000000000002,0.0,0.0,1.0
d1.08,1,high_c,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.08,1,verify,OFF,1.0,0.9766666666666666,0.023333333333333355,0.0009000000000000016,0.0,0.0,1.0
d1.08,1,verify,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.09,1,cot,OFF,1.0,0.9899999999999999,0.010000000000000009,0.0001000000000000002,0.0,0.0,1.0
d1.09,1,cot,ON,1.0,0.9633333333333333,0.0366666666666667,0.001700000000000003,0.0,0.0,1.0
d1.09,1,dual,OFF,1.0,0.9899999999999999,0.010000000000000009,0.0001000000000000002,0.0,0.0,1.0
d1.09,1,dual,ON,1.0,0.9766666666666666,0.023333333333333355,0.0009000000000000016,0.0,0.0,1.0
d1.09,1,high_c,OFF,1.0,0.9933333333333333,0.006666666666666672,6.666666666666679e-05,0.0,0.0,1.0
d1.09,1,high_c,ON,1.0,0.9899999999999999,0.010000000000000009,0.0001000000000000002,0.0,0.0,1.0
d1.09,1,verify,OFF,1.0,0.9933333333333333,0.006666666666666672,6.666666666666679e-05,0.0,0.0,1.0
d1.09,1,verify,ON,1.0,0.9766666666666666,0.023333333333333355,0.0009000000000000016,0.0,0.0,1.0
d1.10,1,cot,OFF,1.0,0.9899999999999999,0.010000000000000009,0.0001000000000000002,0.0,0.0,1.0
d1.10,1,cot,ON,1.0,0.8166666666666668,0.18333333333333335,0.04083333333333334,0.0,0.0,1.0
d1.10,1,dual,OFF,1.0,0.9633333333333333,0.0366666666666667,0.001700000000000003,0.0,0.0,1.0
d1.10,1,dual,ON,1.0,0.9166666666666666,0.08333333333333337,0.009166666666666672,0.0,0.0,1.0
d1.10,1,high_c,OFF,1.0,0.9766666666666666,0.023333333333333355,0.0009000000000000016,0.0,0.0,1.0
d1.10,1,high_c,ON,1.0,0.9333333333333332,0.0666666666666667,0.005000000000000001,0.0,0.0,1.0
d1.10,1,verify,OFF,1.0,0.9899999999999999,0.010000000000000009,0.0001000000000000002,0.0,0.0,1.0
d1.10,1,verify,ON,1.0,0.8666666666666667,0.13333333333333333,0.018333333333333337,0.0,0.0,1.0
d1.11,1,cot,OFF,1.0,0.9066666666666667,0.09333333333333331,0.008799999999999994,0.0,0.0,1.0
d1.11,1,cot,ON,1.0,0.8733333333333334,0.12666666666666668,0.017133333333333334,0.0,0.0,1.0
d1.11,1,dual,OFF,1.0,0.8833333333333333,0.11666666666666665,0.014166666666666666,0.0,0.0,1.0
d1.11,1,dual,ON,1.0,0.8733333333333334,0.12666666666666668,0.017133333333333334,0.0,0.0,1.0
d1.11,1,high_c,OFF,1.0,0.8833333333333333,0.11666666666666665,0.014166666666666666,0.0,0.0,1.0
d1.11,1,high_c,ON,1.0,0.8666666666666667,0.13333333333333333,0.018333333333333337,0.0,0.0,1.0
d1.11,1,verify,OFF,1.0,0.9166666666666666,0.08333333333333333,0.007499999999999997,0.0,0.0,1.0
d1.11,1,verify,ON,1.0,0.8733333333333334,0.12666666666666668,0.017133333333333334,0.0,0.0,1.0
d1.12,1,cot,OFF,1.0,0.9,0.10000000000000002,0.011666666666666667,0.0,0.0,1.0
